Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,LANGUAGE,PATIENTPOPULATIONPERCENTAGEBELOWPOVERTY
f0f3bc8d-ef38-49ce-a2bd-dfdda982b271,2017-08-24,,999-68-6630,,,,Jacinto644,Kris249,,,,white,nonhispanic,M,Beverly  Massachusetts  US,888 Hickle Ferry Suite 38,Springfield,Massachusetts,Hampden County,1106,42.151961474963535,-72.59895940376188,8446.49,1499.08,,
067318a4-db8f-447f-8b6e-f2f61e9baaa5,2016-08-01,,999-15-5895,,,,Alva958,Krajcik437,,,,white,nonhispanic,F,Boston  Massachusetts  US,1048 Skiles Trailer,Walpole,Massachusetts,Norfolk County,2081,42.177370220648726,-71.28135315860652,89893.4,1845.72,,
ae9efba3-ddc4-43f9-a781-f72019388548,1992-06-30,,999-27-3385,S99971451,X53218815X,Mr.,Jayson808,Fadel536,,,S,white,nonhispanic,M,Springfield  Massachusetts  US,1056 Harris Lane Suite 70,Chicopee,Massachusetts,Hampden County,1020,42.181642300277424,-72.60884222581657,577445.86,3528.84,,
199c586f-af16-4091-9998-ee4cfc02ee7a,2004-01-09,,999-73-2461,S99956432,,,Jimmie93,Harris789,,,,white,nonhispanic,F,Worcester  Massachusetts  US,201 Mitchell Lodge Unit 67,Pembroke,Massachusetts,Plymouth County,,42.07529152717956,-70.75703466334431,336701.72,2705.64,,
f58bf921-cba1-475a-b4f8-dc6fa3b8f89c,2019-06-12,,999-81-4349,,,,Karyn217,Mueller846,,,,white,nonhispanic,F,New Bedford  Massachusetts  US,570 Abshire Forge Suite 32,Colrain,Massachusetts,Franklin County,,42.740219982868055,-72.72264767557297,22940.0,893.2799999999999,,
d22592ac-552f-4ecd-a63d-7663d77ce9ba,1989-06-22,,999-76-6866,S99979025,X42374914X,Mr.,José Eduardo181,Gómez206,,,M,white,hispanic,M,Marigot  Saint Andrew Parish  DM,427 Balistreri Way Unit 19,Chicopee,Massachusetts,Hampden County,1013,42.22835382315942,-72.56295055096882,709544.18,3023.04,,
28658715-b770-4576-9a81-fbb2282a98ea,1991-07-31,,999-74-9712,S99966383,X54776571X,Mrs.,Karyn217,Metz686,,Reynolds644,M,white,nonhispanic,F,Belmont  Massachusetts  US,181 Feest Passage Suite 64,Medfield,Massachusetts,Norfolk County,2052,42.13871939383503,-71.29725536274758,730953.33,4214.639999999999,,
055ae6fc-7e18-4a39-8058-64082ca6d515,2005-01-16,,999-78-4480,,,,Jeffrey461,Greenfelder433,,,,white,nonhispanic,M,Plymouth  Massachusetts  US,428 Wiza Glen Unit 91,Springfield,Massachusetts,Hampden County,1104,42.10492711186789,-72.59101060950445,389178.38,3214.8,,
478a4846-0ae6-4ec8-8155-019708911526,1978-06-24,,999-85-4926,S99982373,X87966305X,Mrs.,Mariana775,Hane680,,Williamson769,M,white,nonhispanic,F,Yarmouth  Massachusetts  US,999 Kuhn Forge,Lowell,Massachusetts,Middlesex County,1851,42.63614335069588,-71.3432549217789,965334.27,7223.859999999999,,
f73d6f41-0091-4485-8b43-9d38eb98fb36,1989-07-05,,999-24-1237,S99910262,X45422667X,Mrs.,Leann224,Deckow585,,Jaskolski867,M,white,nonhispanic,F,Fall River  Massachusetts  US,118 Bailey Orchard Suite 34,Needham,Massachusetts,Norfolk County,,42.32074744363048,-71.23282934575425,747131.76,5546.999999999999,,
df6b563d-1ff4-4833-9af8-84431e641e9c,1982-09-29,,999-21-5604,S99921528,X87641071X,Ms.,Christal240,Brown30,,,S,white,nonhispanic,F,Bellingham  Massachusetts  US,1060 Hansen Overpass Suite 86,Boston,Massachusetts,Suffolk County,2118,42.284598473357775,-71.13449674876126,818841.61,11339.259999999998,,
f39d31c4-9ba8-4468-9f48-065a8dc13e0f,1983-09-30,,999-57-9112,S99937871,X59867376X,Mrs.,Lisbeth69,Rowe323,,Durgan499,M,white,nonhispanic,F,Agawam  Massachusetts  US,290 Hyatt Lane,Malden,Massachusetts,Middlesex County,2155,42.41495500202392,-71.0670663224216,792765.79,7389.239999999999,,
ff7b040b-aa96-4003-8926-3dac8ca8eb05,2000-12-19,,999-28-2716,S99985509,,Ms.,Carmelia328,Konopelski743,,,,white,nonhispanic,F,Lee  Massachusetts  US,1025 Collier Arcade,Ashland,Massachusetts,Middlesex County,,42.2919859634347,-71.4637238426449,439502.18,72357.13000000014,,
3e7c92d1-3c0d-485d-8289-154750bd5770,1957-03-25,,999-66-4231,S99961255,X32357683X,Mrs.,Raye931,Wyman904,,Wunsch504,M,white,nonhispanic,F,Arlington  Massachusetts  US,585 Greenfelder Camp,Quincy,Massachusetts,Norfolk County,2169,42.266511451175816,-70.95648012153919,1432771.84,7271.799999999999,,
007228b1-99a1-4865-b790-785cec20bd84,1958-07-29,,999-76-2715,S99916782,X17277881X,Ms.,Amada498,Spinka232,,,S,white,nonhispanic,F,Watertown  Massachusetts  US,970 Grant Highlands,Foxborough,Massachusetts,Norfolk County,,42.07894173393037,-71.22544168501237,1323178.3,9671.6,,
1610c8a8-9db2-42f1-84d4-a9c49204e644,1999-03-03,,999-85-6755,S99938879,X83707353X,Ms.,Cythia210,Reichel38,,,,white,nonhispanic,F,Hopkinton  Massachusetts  US,211 Effertz Quay,Peabody,Massachusetts,Essex County,1960,42.55928953967607,-70.93169658886427,424212.7,4002.96,,
0bccccae-0961-4ee0-896a-d80729b22e6c,1970-06-13,,999-38-7030,S99955092,X33628450X,Mrs.,Yolanda648,Gollum504,,Reyes140,M,white,hispanic,F,Portsmouth  Saint John Parish  DM,540 Gibson Green,Fall River,Massachusetts,Bristol County,,41.6642703334667,-70.96815656387318,974691.53,11915.6,,
034d0449-81a4-498c-88f6-74822b92c7ce,2017-03-23,,999-40-3169,,,,María Soledad68,Aparicio848,,,,white,hispanic,F,San Jose  San Jose  CR,547 Ziemann Burg,Boston,Massachusetts,Suffolk County,2215,42.43109777176137,-71.00157229853994,10380.86,2112.36,,
da0334da-83d5-443c-9f80-185654a0c534,1959-06-23,,999-59-1261,S99928544,X30032284X,Mrs.,Anissa357,Mueller846,,Ebert178,M,white,nonhispanic,F,Pembroke  Massachusetts  US,661 Schulist Highlands,Waltham,Massachusetts,Middlesex County,2452,42.42591517440363,-71.28867283165437,1533497.0,7207.719999999999,,
b837f045-b9b5-486a-ad32-94b9f519737f,1958-05-09,,999-49-5916,S99935194,X2603260X,Mrs.,Danae973,Franecki195,,Gleichner915,M,white,nonhispanic,F,Holyoke  Massachusetts  US,1062 Conn Well Suite 4,Framingham,Massachusetts,Middlesex County,1702,42.30967844045964,-71.42307309211299,1416219.08,18465.11,,
2a6c0184-35a7-424f-96ce-0c977fa667f5,1986-02-25,,999-89-1141,S99986137,X43325867X,Mrs.,Margurite588,Bernhard322,,Fahey393,M,native,nonhispanic,F,Lynn  Massachusetts  US,471 Mayert Flat Unit 54,Peabody,Massachusetts,Essex County,,42.53946384035592,-70.93353942981541,913475.2,4161.36,,
76b3f20a-a5ba-4287-a43b-1262e133d882,1983-10-10,,999-45-5448,S99951460,X62276990X,Mrs.,Frankie174,Bernier607,,Brown30,M,white,nonhispanic,F,Somerville  Massachusetts  US,687 Howell Frontage road Apt 68,Abington,Massachusetts,Plymouth County,2351,42.07952522604181,-70.97370970346904,798187.32,4916.999999999999,,
0a6c6f5a-797e-42f4-8693-13c8f13cbfab,1954-05-02,,999-88-9161,S99952034,X43989593X,Mr.,Edmund685,Walker122,,,M,white,nonhispanic,M,Dedham  Massachusetts  US,383 Crooks Camp,Norwell,Massachusetts,Plymouth County,,42.1922447262567,-70.83915436161415,1731218.38,5027.12,,
b4d135ad-4f02-4bfe-a5a3-41ab695c6f66,1971-01-19,,999-95-4888,S99959100,X29871777X,Ms.,Margert370,DuBuque211,,,S,white,nonhispanic,F,Billerica  Massachusetts  US,560 Herman Bridge,Malden,Massachusetts,Middlesex County,,42.44244784588782,-71.06719902923557,164858.0,36869.19,,
33b1ecad-c4cf-46ca-a825-e8bedec0cbff,1993-04-06,,999-21-6421,S99974558,X65803237X,Mrs.,Luciana251,Williamson769,,Adams676,M,asian,nonhispanic,F,Beijing  Beijing Municipality  CN,703 Stehr Walk,Chelmsford,Massachusetts,Middlesex County,,42.61896977578778,-71.36031919442007,688020.82,4067.16,,
55c70d2a-03ad-4f4d-8599-c967121434f1,2005-12-28,,999-75-9476,,,,Victor265,Dickinson688,,,,asian,nonhispanic,M,Waltham  Massachusetts  US,765 Harber Club,Winchester,Massachusetts,Middlesex County,1890,42.47282661748736,-71.11767065045873,332071.38,5396.239999999999,,
5b61f0fa-a3c4-4e70-a322-ad85c47aca12,1987-08-31,,999-47-3790,S99987128,X31069450X,Mr.,Erwin847,Weimann465,,,M,white,hispanic,M,Quincy  Massachusetts  US,297 Fritsch Estate Apt 24,Lynnfield,Massachusetts,Essex County,,42.570671540821,-71.04404349781522,678188.97,4118.76,,
854f2a52-9d7d-416d-8308-7fb34a8e9e72,1967-07-12,,999-95-2422,S99922379,X74979136X,Ms.,Ashton21,Goldner995,,,S,white,nonhispanic,F,Dighton  Massachusetts  US,257 Jerde Rue,Quincy,Massachusetts,Norfolk County,2170,42.31096749809112,-71.02359767170348,1104520.8,6569.319999999999,,
f1a653f5-23ca-43c6-83b6-62e14b724846,1973-08-01,,999-85-9257,S99981102,X48855355X,Mr.,Louie190,Jacobi462,,,M,white,nonhispanic,M,Lynn  Massachusetts  US,255 Ondricka Common,Deerfield,Massachusetts,Franklin County,,42.574668213480976,-72.56258294874279,1076550.23,7874.159999999999,,
8f9539f2-e6ad-4e00-ad45-4abc2bff2214,1965-11-11,,999-85-8713,S99975142,X43892012X,Mrs.,Marvel321,Wyman904,,Wyman904,M,white,nonhispanic,F,Wilbraham  Massachusetts  US,913 Schiller Well Apt 80,Burlington,Massachusetts,Middlesex County,1803,42.48474039864766,-71.23413740070445,1121280.6,7715.969999999999,,
bb0609fd-42d4-4e2f-b2f2-1efffd299977,1994-06-28,,999-33-5858,S99973245,X34190522X,Ms.,Christene303,Brakus656,,,,white,nonhispanic,F,Boston  Massachusetts  US,229 Feest Landing Unit 4,Plymouth,Massachusetts,Plymouth County,2360,41.92243181741361,-70.61431605934945,595525.8099999999,3620.52,,
4088279b-94cc-42f7-8cab-8ce880997553,1967-07-12,,999-15-5162,S99965704,X33957632X,Mr.,Wesley533,Rau926,,,M,white,nonhispanic,M,Chicopee  Massachusetts  US,788 Wilderman Vale,New Bedford,Massachusetts,Bristol County,,41.65182806986783,-70.98799740134385,1284480.4,6621.08,,
d5dd13c4-c31e-419c-8c02-47e4ca1ac5e2,2018-08-16,,999-65-5107,,,,Dorothea248,Ward668,,,,white,nonhispanic,F,New Bedford  Massachusetts  US,1079 Kuhn Orchard,Lowell,Massachusetts,Middlesex County,1854,42.6627289084441,-71.36456412317567,39825.0,1195.7599999999998,,
fcdb5a33-d5eb-4a65-b1a1-05b8ff69783a,2013-07-30,,999-82-6451,,,,Lorrie905,Leannon79,,,,white,nonhispanic,F,Winthrop  Massachusetts  US,813 Casper Street,Peabody,Massachusetts,Essex County,1940,42.495161618943285,-71.00717490673976,156848.18,2469.84,,
c1751563-21b8-4c7a-88d3-c41f55f12103,1986-09-20,,999-39-5390,S99940973,X25570027X,Mrs.,Mabel261,Dach178,,Larkin917,M,white,nonhispanic,F,Granby  Massachusetts  US,844 Hammes Byway,Framingham,Massachusetts,Middlesex County,1702,42.34587561056077,-71.42562595250615,621113.51,7492.519999999999,,
9a991e45-bb2e-4eae-b835-e97f28798b7c,2002-01-24,,999-83-2956,S99962510,,Ms.,Joleen561,Quitzon246,,,,white,nonhispanic,F,Woburn  Massachusetts  US,976 Bode Parade Apt 52,Greenfield,Massachusetts,Franklin County,,42.64255382613245,-72.63605724383343,448371.17,7583.48,,
820d4ac8-c108-43a3-966b-0a655620713d,1979-06-13,,999-19-9482,S99923892,X76691515X,Mr.,Carlton317,Breitenberg711,JD,,M,white,nonhispanic,M,Cambridge  Massachusetts  US,789 Torphy Trafficway Suite 59,Medfield,Massachusetts,Norfolk County,,42.2191672093114,-71.28898585091105,1093151.02,4403.84,,
c70992c9-ff13-467b-9032-1901506edeef,1959-06-17,2020-03-11,999-59-5266,S99980358,X6040407X,Mr.,Emerson869,Hagenes547,,,M,white,nonhispanic,M,Worcester  Massachusetts  US,436 Mills Wynd Apt 14,Saugus,Massachusetts,Essex County,,42.47167808525483,-71.00450072850994,1259694.82,5741.04,,
2d874b8e-8d49-43fe-8302-f3618ac74936,1968-09-12,,999-88-9678,S99949484,X7011478X,Mr.,Carol737,Harber290,,,S,white,nonhispanic,M,Rochester  Massachusetts  US,119 Steuber Key,Salisbury,Massachusetts,Essex County,,42.79707250664195,-70.84154726099447,1122869.83,4448.32,,
9ec7d743-96e7-47c8-b2ee-6336633beb39,1969-03-22,,999-12-7459,S99953931,X68702974X,Mr.,Stanford577,Goodwin327,,,M,white,nonhispanic,M,Arlington  Massachusetts  US,314 Torp Byway,Somerville,Massachusetts,Middlesex County,2140,42.4408651910576,-71.08638784903249,1298059.67,6003.639999999999,,
bebeadaa-3237-49a6-89b5-ec687ad2ea0e,1982-06-19,,999-95-2021,S99923556,X35823373X,Mr.,Ira784,Stark857,,,M,white,nonhispanic,M,Framingham  Massachusetts  US,1040 Morar Approach,Weymouth,Massachusetts,Norfolk County,2189,42.21778590547319,-70.90836801088793,781496.94,2759.68,,
afa7ef78-5396-4e32-9208-7aa7b1bf4b8e,2007-06-18,,999-36-9345,,,,Timmy68,Macejkovic424,,,,white,nonhispanic,M,Chicopee  Massachusetts  US,385 Sipes Orchard Apt 71,Brockton,Massachusetts,Plymouth County,2301,42.13957669646028,-70.93239519960153,314506.9,3033.16,,
dfc908b9-ca94-417c-8235-2e357380910e,1981-09-18,,999-39-3928,S99986161,X58632558X,Mr.,Benedict104,Emard19,MD,,M,white,nonhispanic,M,Leominster  Massachusetts  US,837 Mills Dam,Somerville,Massachusetts,Middlesex County,2140,42.36194912885326,-71.1344490746044,794911.52,3152.96,,
